"protocol","weekday","timeofday","pdu_size","dest_tcp","dest_udp","flag_tcp","conn.in_enc_timed","conn.ou_enc_timed","conn.in_enc_count","conn.ou_enc_count","conn.in_tsize","conn.ou_tsize","conn.in_asize","conn.ou_asize","conn.in_rateps","conn.ou_rateps","attack"
"Http","4","75881","706","80","-1","24","8053000","281216000","13","11","2041","28553","157.0","2595.0","6.5","5.5","false"
"Http","4","75881","740","80","-1","24","2225592000","95763000","3","4","860","833","286.0","208.0","1.5","2.0","false"
"Tcp","4","75881","54","80","-1","16","3974000","-1","2","0","120","0","60.0","0.0","2.0","0.0","false"
"Http","4","75881","694","80","-1","24","86000","-1","3","0","814","0","271.0","0.0","3.0","0.0","false"
"Http","4","75881","687","80","-1","24","5817000","304028000","4","3","1493","777","373.0","259.0","1.3333333333333333","1.0","false"
"Http","4","75881","719","80","-1","24","8900000","281216000","14","11","2760","28553","197.0","2595.0","4.666666666666667","3.6666666666666665","false"
"Http","4","75881","785","80","-1","24","175169000","95763000","5","4","2355","833","471.0","208.0","1.6666666666666667","1.3333333333333333","false"
"Http","4","75881","837","80","-1","24","46015000","95763000","6","4","3192","833","532.0","208.0","2.0","1.3333333333333333","false"
"Http","4","75881","785","80","-1","24","28003000","231648000","6","3","2372","773","395.0","257.0","2.0","1.0","false"
"Tcp","4","75882","54","80","-1","16","310269000","-1","4","0","868","0","217.0","0.0","4.0","0.0","false"
"Tcp","4","75882","54","80","-1","16","30000","304028000","6","3","1601","777","266.0","259.0","2.0","1.0","false"
"Tcp","4","75882","54","80","-1","16","2912000","-1","5","0","917","0","183.0","0.0","5.0","0.0","false"
"Icmp","4","75882","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75882","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75883","60","21","-1","24","5999181000","5938949000","6","3","383","239","63.0","79.0","0.5454545454545454","0.2727272727272727","false"
"Tcp","4","75883","54","80","-1","16","2389616000","2167326000","16","12","3614","29157","225.0","2429.0","4.0","3.0","false"
"Tcp","4","75883","54","80","-1","16","69000","999000","8","8","3300","17552","412.0","2194.0","2.0","2.0","false"
"Tcp","4","75883","54","80","-1","16","68000","999000","10","8","3408","17552","340.0","2194.0","2.0","1.6","false"
"Tcp","4","75883","54","80","-1","16","32000","999000","12","8","3516","17552","293.0","2194.0","2.4","1.6","false"
"Icmp","4","75884","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Icmp","4","75885","74","-1","-1","-1","-1","-1","-1","-1","-1","-1","-1.0","-1.0","-1.0","-1.0","false"
"Tcp","4","75885","54","80","-1","16","4691123000","-1","6","1","971","60","161.0","60.0","1.2","0.2","false"
"Tcp","4","75886","54","80","-1","16","4694020000","4694920000","7","4","1655","837","236.0","209.0","1.0","0.5714285714285714","false"
"Tcp","4","75886","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","1.0","0.0","true"
"Tcp","4","75886","66","80","-1","16","3971000","-1","2","0","140","0","70.0","0.0","2.0","0.0","true"
"Http","4","75886","726","80","-1","24","5779000","-1","3","0","866","0","288.0","0.0","3.0","0.0","true"
"Tcp","4","75886","66","80","-1","16","5216000","-1","4","0","932","0","233.0","0.0","4.0","0.0","true"
"Tcp","4","75886","66","80","-1","17","5069000","-1","5","0","534","0","106.0","0.0","5.0","0.0","true"
"Tcp","4","75887","66","80","-1","16","4023000","-1","6","0","600","0","100.0","0.0","6.0","0.0","true"
"Http","4","75887","726","80","-1","24","8152000","-1","3","0","866","0","288.0","0.0","3.0","0.0","true"
"Tcp","4","75887","66","80","-1","16","4536000","-1","4","0","932","0","233.0","0.0","4.0","0.0","true"
"Http","4","75887","726","80","-1","24","2387000","-1","3","0","866","0","288.0","0.0","3.0","0.0","true"
"Tcp","4","75887","66","80","-1","16","4026000","-1","2","0","140","0","70.0","0.0","2.0","0.0","true"
"Tcp","4","75887","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","1.0","0.0","true"
"Tcp","4","75887","66","80","-1","16","4005000","-1","2","0","140","0","70.0","0.0","2.0","0.0","true"
"Tcp","4","75887","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","1.0","0.0","true"
"Tcp","4","75888","66","80","-1","16","4027000","-1","2","0","140","0","70.0","0.0","2.0","0.0","true"
"Http","4","75888","726","80","-1","24","2087000","-1","3","0","866","0","288.0","0.0","1.5","0.0","true"
"Tcp","4","75888","66","80","-1","16","3985000","-1","2","0","140","0","70.0","0.0","1.0","0.0","true"
"Tcp","4","75888","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.5","0.0","true"
"Tcp","4","75888","66","80","-1","16","3993000","-1","2","0","140","0","70.0","0.0","1.0","0.0","true"
"Http","4","75888","726","80","-1","24","1997000","-1","3","0","866","0","288.0","0.0","1.5","0.0","true"
"Tcp","4","75888","66","80","-1","16","3930000","-1","2","0","140","0","70.0","0.0","1.0","0.0","true"
"Tcp","4","75888","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.5","0.0","true"
"Tcp","4","75888","66","80","-1","16","3964000","-1","2","0","140","0","70.0","0.0","1.0","0.0","true"
"Tcp","4","75889","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.5","0.0","true"
"Tcp","4","75889","66","80","-1","16","4012000","-1","2","0","140","0","70.0","0.0","1.0","0.0","true"
"Tcp","4","75889","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.3333333333333333","0.0","true"
"Tcp","4","75889","66","80","-1","16","4007000","-1","2","0","140","0","70.0","0.0","0.6666666666666666","0.0","true"
"Tcp","4","75889","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.3333333333333333","0.0","true"
"Tcp","4","75889","66","80","-1","16","4005000","-1","2","0","140","0","70.0","0.0","0.6666666666666666","0.0","true"
"Tcp","4","75889","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.3333333333333333","0.0","true"
"Tcp","4","75889","66","80","-1","16","3985000","-1","2","0","140","0","70.0","0.0","0.6666666666666666","0.0","true"
"Tcp","4","75889","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.3333333333333333","0.0","true"
"Tcp","4","75889","66","80","-1","16","4012000","-1","2","0","140","0","70.0","0.0","0.6666666666666666","0.0","true"
"Tcp","4","75890","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.3333333333333333","0.0","true"
"Tcp","4","75890","66","80","-1","16","3980000","-1","2","0","140","0","70.0","0.0","0.6666666666666666","0.0","true"
"Tcp","4","75890","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.3333333333333333","0.0","true"
"Tcp","4","75890","66","80","-1","16","4015000","-1","2","0","140","0","70.0","0.0","0.5","0.0","true"
"Tcp","4","75890","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.25","0.0","true"
"Tcp","4","75890","66","80","-1","16","3562000","-1","2","0","140","0","70.0","0.0","0.5","0.0","true"
"Tcp","4","75890","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.25","0.0","true"
"Tcp","4","75890","66","80","-1","16","4064000","-1","2","0","140","0","70.0","0.0","0.5","0.0","true"
"Tcp","4","75890","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.25","0.0","true"
"Tcp","4","75890","66","80","-1","16","4013000","-1","2","0","140","0","70.0","0.0","0.5","0.0","true"
"Tcp","4","75891","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.25","0.0","true"
"Tcp","4","75891","66","80","-1","16","3997000","-1","2","0","140","0","70.0","0.0","0.5","0.0","true"
"Tcp","4","75891","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.2","0.0","true"
"Tcp","4","75891","66","80","-1","16","3978000","-1","2","0","140","0","70.0","0.0","0.4","0.0","true"
"Tcp","4","75891","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.2","0.0","true"
"Tcp","4","75891","66","80","-1","16","3984000","-1","2","0","140","0","70.0","0.0","0.4","0.0","true"
"Tcp","4","75891","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.2","0.0","true"
"Tcp","4","75891","66","80","-1","16","4025000","-1","2","0","140","0","70.0","0.0","0.4","0.0","true"
"Tcp","4","75891","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.2","0.0","true"
"Tcp","4","75892","66","80","-1","16","3981000","-1","2","0","140","0","70.0","0.0","0.4","0.0","true"
"Tcp","4","75892","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.2","0.0","true"
"Tcp","4","75892","66","80","-1","16","4020000","-1","2","0","140","0","70.0","0.0","0.4","0.0","true"
"Tcp","4","75892","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.16666666666666666","0.0","true"
"Tcp","4","75892","66","80","-1","16","1958000","-1","2","0","140","0","70.0","0.0","0.3333333333333333","0.0","true"
"Tcp","4","75892","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.16666666666666666","0.0","true"
"Tcp","4","75892","66","80","-1","16","3904000","-1","2","0","140","0","70.0","0.0","0.3333333333333333","0.0","true"
"Tcp","4","75892","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.16666666666666666","0.0","true"
"Tcp","4","75892","66","80","-1","16","4015000","-1","2","0","140","0","70.0","0.0","0.3333333333333333","0.0","true"
"Tcp","4","75892","74","80","-1","2","0","-1","1","0","74","0","74.0","0.0","0.16666666666666666","0.0","true"
