"protocol","weekday","timeofday","pdu_size","dest_tcp","dest_udp","flag_tcp","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_timed","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_count","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_tsize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_asize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.tcpip.Tcp.source,org.jnetpcap.protocol.network.Ip4.destination,org.jnetpcap.protocol.tcpip.Tcp.destination)).enc_rateps","attack"
"Tcp","4","75871","54","80","-1","16","69000","10","3916","391.0","1.1111111111111112","false"
"Tcp","4","75871","54","80","-1","16","57000","12","4024","335.0","1.3333333333333333","false"
"Tcp","4","75871","54","80","-1","16","32000","14","4132","295.0","1.5555555555555556","false"
"Tcp","4","75871","54","80","-1","16","55000","16","4240","265.0","1.7777777777777777","false"
"Tcp","4","75871","66","80","-1","2","0","1","66","66.0","1.0","false"
"Tcp","4","75871","66","80","-1","2","0","1","66","66.0","1.0","false"
"Tcp","4","75871","66","80","-1","2","0","1","66","66.0","1.0","false"
"Tcp","4","75872","54","80","-1","16","11028000","2","120","60.0","2.0","false"
"Tcp","4","75872","54","80","-1","16","10989000","2","120","60.0","2.0","false"
"Tcp","4","75872","54","80","-1","16","11021000","2","120","60.0","2.0","false"
"Tcp","4","75872","740","80","-1","24","95000","3","860","286.0","3.0","false"
"Http","4","75872","694","80","-1","24","187000","3","814","271.0","3.0","false"
"Http","4","75872","687","80","-1","24","11179000","19","5687","299.0","1.9","false"
"Http","4","75872","719","80","-1","24","4708000","4","1533","383.0","4.0","false"
