"protocol","weekday","timeofday","pdu_size","dest_tcp","dest_udp","flag_tcp","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_timed","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_count","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_tsize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_asize","exp(subject(org.jnetpcap.protocol.network.Ip4.source,org.jnetpcap.protocol.network.Ip4.destination)).enc_rateps","attack"
"Tcp","4","75887","66","80","-1","16","64000","12","1672","139.0","12.0","true"
"Http","4","75887","726","80","-1","24","107000","14","2472","176.0","14.0","true"
"Tcp","4","75887","66","80","-1","16","49000","16","2604","162.0","16.0","true"
"Http","4","75887","726","80","-1","24","53000","18","3404","189.0","18.0","true"
"Tcp","4","75887","66","80","-1","16","3973000","19","3470","182.0","19.0","true"
"Tcp","4","75887","74","80","-1","2","1932000","21","3610","171.0","21.0","true"
"Tcp","4","75887","66","80","-1","16","3950000","23","4402","191.0","23.0","true"
"Tcp","4","75887","74","80","-1","2","1916000","25","4542","181.0","25.0","true"
"Tcp","4","75888","66","80","-1","16","3964000","27","5334","197.0","27.0","true"
"Http","4","75888","726","80","-1","24","68000","29","6134","211.0","14.5","true"
"Tcp","4","75888","66","80","-1","16","3878000","31","6266","202.0","15.5","true"
"Tcp","4","75888","74","80","-1","2","1942000","33","6406","194.0","16.5","true"
"Tcp","4","75888","66","80","-1","16","3934000","35","7198","205.0","17.5","true"
"Http","4","75888","726","80","-1","24","1939000","37","7998","216.0","18.5","true"
"Tcp","4","75888","66","80","-1","16","1942000","39","8130","208.0","19.5","true"
"Tcp","4","75888","74","80","-1","2","48000","41","8270","201.0","20.5","true"
"Tcp","4","75888","66","80","-1","16","3923000","43","9062","210.0","21.5","true"
"Tcp","4","75889","74","80","-1","2","2952000","45","9202","204.0","22.5","true"
"Tcp","4","75889","66","80","-1","16","3965000","47","9994","212.0","23.5","true"
"Tcp","4","75889","74","80","-1","2","1930000","49","10134","206.0","16.333333333333332","true"
"Tcp","4","75889","66","80","-1","16","3957000","51","10926","214.0","17.0","true"
"Tcp","4","75889","74","80","-1","2","1962000","53","11066","208.0","17.666666666666668","true"
"Tcp","4","75889","66","80","-1","16","3942000","55","11858","215.0","18.333333333333332","true"
"Tcp","4","75889","74","80","-1","2","1946000","57","11998","210.0","19.0","true"
"Tcp","4","75889","66","80","-1","16","3930000","59","12790","216.0","19.666666666666668","true"
"Tcp","4","75889","74","80","-1","2","1978000","61","12930","211.0","20.333333333333332","true"
"Tcp","4","75889","66","80","-1","16","3957000","63","13722","217.0","21.0","true"
"Tcp","4","75890","74","80","-1","2","1928000","65","13862","213.0","21.666666666666668","true"
"Tcp","4","75890","66","80","-1","16","3913000","67","14654","218.0","22.333333333333332","true"
"Tcp","4","75890","74","80","-1","2","1955000","69","14794","214.0","17.25","true"
"Tcp","4","75890","66","80","-1","16","3969000","71","15586","219.0","17.75","true"
"Tcp","4","75890","74","80","-1","2","1945000","73","15726","215.0","18.25","true"
"Tcp","4","75890","66","80","-1","16","3499000","75","16518","220.0","18.75","true"
"Tcp","4","75890","74","80","-1","2","2381000","77","16658","216.0","19.25","true"
"Tcp","4","75890","66","80","-1","16","4001000","79","17450","220.0","19.75","true"
"Tcp","4","75890","74","80","-1","2","1848000","81","17590","217.0","20.25","true"
"Tcp","4","75890","66","80","-1","16","3958000","83","18382","221.0","20.75","true"
"Tcp","4","75891","74","80","-1","2","1955000","85","18522","217.0","21.25","true"
"Tcp","4","75891","66","80","-1","16","3934000","87","19314","222.0","17.4","true"
"Tcp","4","75891","74","80","-1","2","1952000","89","19454","218.0","17.8","true"
"Tcp","4","75891","66","80","-1","16","3913000","91","20246","222.0","18.2","true"
"Tcp","4","75891","74","80","-1","2","1966000","93","20386","219.0","18.6","true"
"Tcp","4","75891","66","80","-1","16","3915000","95","21178","222.0","19.0","true"
"Tcp","4","75891","74","80","-1","2","1923000","97","21318","219.0","19.4","true"
"Tcp","4","75891","66","80","-1","16","3976000","99","22110","223.0","19.8","true"
"Tcp","4","75891","74","80","-1","2","1955000","101","22250","220.0","20.2","true"
"Tcp","4","75892","66","80","-1","16","3915000","103","23042","223.0","20.6","true"
"Tcp","4","75892","74","80","-1","2","1939000","105","23182","220.0","17.5","true"
"Tcp","4","75892","66","80","-1","16","3967000","107","23974","224.0","17.833333333333332","true"
"Tcp","4","75892","74","80","-1","2","34000","109","24114","221.0","18.166666666666668","true"
"Tcp","4","75892","66","80","-1","16","52000","111","24906","224.0","18.5","true"
"Tcp","4","75892","74","80","-1","2","72000","113","25046","221.0","18.833333333333332","true"
"Tcp","4","75892","66","80","-1","16","3869000","115","25838","224.0","19.166666666666668","true"
"Tcp","4","75892","74","80","-1","2","49000","118","26704","226.0","19.666666666666668","true"
"Tcp","4","75892","66","80","-1","16","3966000","119","26770","224.0","19.833333333333332","true"
"Tcp","4","75892","74","80","-1","2","34000","121","26910","222.0","20.166666666666668","true"
"Tcp","4","75893","66","80","-1","16","60000","123","27702","225.0","20.5","true"
"Tcp","4","75893","74","80","-1","2","56000","125","27842","222.0","17.857142857142858","true"
"Tcp","4","75893","66","80","-1","16","3914000","127","28634","225.0","18.142857142857142","true"
"Tcp","4","75893","74","80","-1","2","2943000","129","28774","223.0","18.428571428571427","true"
"Tcp","4","75893","66","80","-1","16","3942000","131","29566","225.0","18.714285714285715","true"
